loss,root_mean_squared_error,val_loss,val_root_mean_squared_error,lr
192069760.0,13858.923828125,282231808.0,16799.755859375,0.001
192083200.0,13859.408203125,282231264.0,16799.740234375,0.001
192072752.0,13859.03125,282230752.0,16799.724609375,0.001
192054976.0,13858.3896484375,282230368.0,16799.712890625,0.001
192086064.0,13859.51171875,282229888.0,16799.69921875,0.001
192072592.0,13859.025390625,282229312.0,16799.681640625,0.001
192050816.0,13858.240234375,282228640.0,16799.662109375,0.001
192056896.0,13858.458984375,282228064.0,16799.64453125,0.001
192045712.0,13858.0556640625,282227456.0,16799.626953125,0.001
192047408.0,13858.1171875,282226880.0,16799.609375,0.001
192045184.0,13858.037109375,282226144.0,16799.587890625,0.001
192045504.0,13858.048828125,282225504.0,16799.568359375,0.001
192054064.0,13858.357421875,282224768.0,16799.546875,0.001
192053056.0,13858.3212890625,282224128.0,16799.52734375,0.001
192037376.0,13857.7548828125,282223264.0,16799.501953125,0.001
192013776.0,13856.9033203125,282222464.0,16799.478515625,0.001
192024560.0,13857.29296875,282221632.0,16799.453125,0.001
192041728.0,13857.912109375,282220896.0,16799.431640625,0.001
192023376.0,13857.25,282220448.0,16799.41796875,0.001
192048976.0,13858.173828125,282219776.0,16799.3984375,0.001
192017216.0,13857.02734375,282218944.0,16799.373046875,0.001
192046256.0,13858.0751953125,282218272.0,16799.353515625,0.001
192020816.0,13857.1572265625,282217568.0,16799.33203125,0.001
192024240.0,13857.28125,282216768.0,16799.30859375,0.001
192015952.0,13856.982421875,282216192.0,16799.291015625,0.001
192001920.0,13856.4755859375,282215456.0,16799.26953125,0.001
191993136.0,13856.1591796875,282214400.0,16799.23828125,0.001
192007440.0,13856.6748046875,282213408.0,16799.208984375,0.001
192009456.0,13856.748046875,282212256.0,16799.173828125,0.001
192005904.0,13856.619140625,282211264.0,16799.14453125,0.001
191994992.0,13856.2255859375,282210528.0,16799.123046875,0.001
192004176.0,13856.5576171875,282209472.0,16799.091796875,0.001
192000464.0,13856.4228515625,282208512.0,16799.0625,0.001
191993040.0,13856.1552734375,282207520.0,16799.033203125,0.001
191981904.0,13855.75390625,282206464.0,16799.001953125,0.001
191983680.0,13855.8173828125,282205536.0,16798.974609375,0.001
191984560.0,13855.849609375,282204576.0,16798.9453125,0.001
191986384.0,13855.9150390625,282203648.0,16798.91796875,0.001
191980784.0,13855.712890625,282202784.0,16798.892578125,0.001
191997328.0,13856.3095703125,282201792.0,16798.86328125,0.001
191984816.0,13855.8583984375,282200832.0,16798.833984375,0.001
191958400.0,13854.9052734375,282199840.0,16798.8046875,0.001
191975360.0,13855.517578125,282199040.0,16798.78125,0.001
191977728.0,13855.6025390625,282198272.0,16798.7578125,0.001
191959936.0,13854.9609375,282197344.0,16798.73046875,0.001
191971888.0,13855.3916015625,282196544.0,16798.70703125,0.001
191971120.0,13855.3642578125,282195648.0,16798.6796875,0.001
191957200.0,13854.8623046875,282194848.0,16798.65625,0.001
191934672.0,13854.048828125,282193984.0,16798.630859375,0.001
191951504.0,13854.65625,282193088.0,16798.603515625,0.001
191964624.0,13855.1298828125,282192224.0,16798.578125,0.001
191959536.0,13854.9462890625,282191520.0,16798.556640625,0.001
191959872.0,13854.9580078125,282190592.0,16798.529296875,0.001
191959120.0,13854.931640625,282189664.0,16798.501953125,0.001
191973184.0,13855.4384765625,282188800.0,16798.4765625,0.001
191976704.0,13855.5654296875,282187776.0,16798.4453125,0.001
